"crash_unit_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"755616","JC464326","2019-10-08T07:15:00","2","DRIVER",,"718115",,"LINCOLN-CONTINENTAL","MKX","NY","2010","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,"true",,,,,,"true",,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755617","JC464326","2019-10-08T07:15:00","3","DRIVER","3","718116",,"JEEP","PATRIOT","IL","2014","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","S","STRAIGHT AHEAD",,,"4",,,,,"true",,,,,"true",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755618","JC464326","2019-10-08T07:15:00","4","DRIVER",,"718120",,"TOYOTA MOTOR COMPANY, LTD.","Prius","IL","2013","NONE","PASSENGER","RIDESHARE SERVICE","S","STRAIGHT AHEAD",,,"2",,,,,,,,,,,,,"true",,,,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755489","JC464313","2019-10-08T07:07:00","1","DRIVER",,"717663",,"CHEVROLET","CRUZE","IL","2014","NONE","PASSENGER","PERSONAL","S","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755490","JC464313","2019-10-08T07:07:00","2","DRIVER",,"717666",,"HONDA","CRV","IL","2009","NONE","PASSENGER","PERSONAL","S","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,,"true",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755400","JC464291","2019-10-08T07:04:00","1","DRIVER",,"717552",,"DODGE","CARAVAN","IL","2017","NONE","VAN/MINI-VAN","OTHER","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755401","JC464291","2019-10-08T07:04:00","2","DRIVER",,"717553",,"TOYOTA MOTOR COMPANY, LTD.","CAMRY","IL","2008","NONE","PASSENGER","PERSONAL","S","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,,"true",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"756761","JC466981","2019-10-08T07:00:00","2","DRIVER",,"718839",,"CADILLAC","Escalade","IL","2019","NONE","PASSENGER","PERSONAL","E","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,,"true",,,,,,"false",,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755470","JC464376","2019-10-08T07:00:00","1","DRIVER",,"717614",,"JEEP","Wrangler (for vehicle years 1989 to present)","IL","2015","NONE","PASSENGER","PERSONAL","W","BACKING",,,"1",,,,"true",,,,,,,,,,,,,,"NONE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755471","JC464376","2019-10-08T07:00:00","2","DRIVER",,"717636",,"DODGE","DART","IL","2014","NONE","PASSENGER","PERSONAL","W","OTHER",,,"1",,,,,,,,,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
